provincia,municipio,lat,lon,fecha,tmax,tmin,precip,viento
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-04-13,19.4,7.7,0.0,13.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-04-14,19.9,8.2,0.0,9.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-04-15,20.2,7.9,0.0,11.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-04-16,22.8,8.9,0.0,12.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-04-17,21.9,14.3,0.0,12.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-04-18,23.1,13.3,0.1,15.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-04-19,24.9,11.6,0.0,12.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-04-20,25.8,14.3,0.3,19.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-04-21,20.7,11.0,0.2,14.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-04-22,18.8,10.8,0.8,22.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-04-23,22.5,6.9,0.0,23.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-04-24,24.1,13.6,0.0,23.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-04-25,23.4,14.6,31.5,30.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-04-26,22.9,14.5,0.5,24.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-04-27,22.7,10.6,25.6,32.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-04-28,15.6,7.4,0.0,21.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-04-29,13.5,2.6,0.0,13.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-04-30,13.8,3.5,0.0,9.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-01,16.8,4.4,0.0,12.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-02,15.6,6.1,0.0,13.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-03,15.0,4.0,0.0,8.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-04,19.6,4.6,0.0,12.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-05,21.3,8.3,0.0,15.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-06,23.4,9.4,0.0,13.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-07,23.7,12.5,0.0,21.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-08,23.6,12.8,0.0,17.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-09,22.3,10.2,0.0,9.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-10,18.9,9.8,0.0,12.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-11,16.4,9.4,0.0,13.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-12,17.5,6.2,0.0,14.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-13,19.2,8.4,0.0,14.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-14,17.8,9.8,0.0,14.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-15,14.4,5.7,0.0,24.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-16,15.2,9.3,0.3,36.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-17,14.5,9.1,0.0,36.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-18,13.4,5.8,0.0,22.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-19,15.2,2.7,0.0,11.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-20,18.0,6.5,0.0,18.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-21,20.3,7.8,0.0,11.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-22,19.6,5.4,0.0,17.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-23,21.4,10.0,0.0,14.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-24,20.3,11.6,0.0,15.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-25,11.4,6.6,4.0,27.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-26,14.5,4.2,0.0,15.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-27,15.1,4.6,0.0,10.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-28,15.2,4.0,0.0,10.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-29,10.3,3.3,0.0,19.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-30,10.5,2.1,0.0,19.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-05-31,10.6,-1.9,0.0,8.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-01,12.0,0.6,0.0,9.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-02,12.0,-0.3,0.0,9.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-03,12.3,1.2,0.0,17.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-04,14.4,4.4,0.0,14.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-05,15.0,3.9,0.0,9.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-06,14.4,4.3,0.0,8.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-07,14.2,5.1,0.0,11.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-08,14.1,4.0,0.0,10.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-09,16.3,4.4,0.1,19.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-10,10.1,2.3,0.0,24.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-11,13.7,0.8,0.0,15.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-12,17.2,1.2,0.0,10.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-13,18.2,5.2,0.0,17.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-14,17.7,6.8,0.0,16.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-15,18.0,5.8,0.0,10.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-16,17.0,5.8,0.0,10.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-17,12.4,4.2,0.0,33.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-18,16.2,0.8,0.0,20.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-19,16.4,7.3,0.0,21.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-20,15.8,3.0,0.0,12.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-21,14.6,4.2,0.0,25.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-22,9.9,2.6,0.1,20.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-23,10.6,0.8,0.0,11.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-24,12.5,3.5,0.0,14.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-25,10.0,1.5,0.0,12.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-26,10.8,3.0,1.7,15.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-27,13.3,7.7,0.0,12.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-28,16.6,7.0,0.1,18.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-29,17.8,7.1,0.0,24.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-06-30,15.4,6.6,0.0,11.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-01,13.9,5.6,0.1,26.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-02,13.2,5.3,0.0,19.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-03,13.9,-0.3,0.0,11.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-04,14.5,4.5,0.0,13.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-05,15.9,3.5,0.0,11.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-06,14.6,6.3,1.3,19.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-07,13.3,3.3,0.3,22.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-08,14.5,1.1,0.1,22.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-09,22.1,10.1,0.0,22.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-10,19.0,11.5,2.4,23.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-11,12.3,8.8,0.0,27.3
